CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Diluicao_Potencial;Preco_Medio_Ponderado_Opcoes_Em_Aberto;Preco_Medio_Ponderado_Opcoes_Perdidas;Preco_Medio_Ponderado_Opcoes_Exercidas
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Diretoria Estatutária;3.50;0.00;0.000000;0.00;0.00;0.00
00.776.574/0001-56;2025-12-31;6;154680;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho Fiscal;4.50;0.00;0.000000;0.00;0.00;0.00
01.599.101/0001-93;2025-12-31;9;154568;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.33;5.33;0.750000;4.41;0.00;0.00
01.599.101/0001-93;2025-12-31;9;154568;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.25;4.25;2.300000;4.41;0.00;0.00
01.599.101/0001-93;2025-12-31;9;154568;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;6.00;0.760000;2.27;0.00;0.00
01.599.101/0001-93;2025-12-31;9;154568;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;2.800000;2.27;0.00;2.19
01.599.101/0001-93;2025-12-31;9;154568;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.00;6.00;0.000000;0.00;0.00;0.00
01.599.101/0001-93;2025-12-31;9;154568;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;2.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;8.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2024-01-01;2024-12-31;Conselho de Administração;9.25;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;8.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2025-01-01;2025-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;8.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2025-01-01;2025-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;5.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;3.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;5.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.08;4.08;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;5.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2024-01-01;2024-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;3.67;0.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2025-01-01;2025-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
01.957.772/0001-89;2025-12-31;1;149092;SUL 116 PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;3.00;0.000000;0.00;0.00;0.00
01.957.772/0001-89;2025-12-31;1;149092;SUL 116 PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.00;3.00;0.000000;0.00;0.00;0.00
01.957.772/0001-89;2025-12-31;1;149092;SUL 116 PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho de Administração;3.00;3.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.92;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.67;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;Conselho de Administração;3.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;Conselho Fiscal;4.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2025-01-01;2025-12-31;Conselho de Administração;3.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2025-01-01;2025-12-31;Conselho Fiscal;4.00;0.00;0.000000;0.00;0.00;0.00
02.255.187/0001-08;2025-12-31;3;154263;UNIFIQUE TELECOMUNICAÇÕES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;2.000000;0.00;0.00;0.00
02.255.187/0001-08;2025-12-31;3;154263;UNIFIQUE TELECOMUNICAÇÕES S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;4.00;0.000000;0.00;0.00;0.00
02.255.187/0001-08;2025-12-31;3;154263;UNIFIQUE TELECOMUNICAÇÕES S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;5.41;5.41;0.065000;107020.83;0.00;0.00
02.255.187/0001-08;2025-12-31;3;154263;UNIFIQUE TELECOMUNICAÇÕES S.A.;2025-01-01;2025-12-31;Conselho de Administração;5.00;4.00;0.000000;0.00;0.00;0.00
02.258.422/0001-97;2025-12-31;2;153895;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;2024-01-01;2024-12-31;Conselho de Administração;3.00;3.00;0.000000;0.00;0.00;0.00
02.258.422/0001-97;2025-12-31;2;153895;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;2.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2022-01-01;2022-12-31;Conselho de Administração;4.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2025-01-01;2025-12-31;Conselho de Administração;4.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2025-01-01;2025-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.351.877/0001-52;2025-12-31;14;154649;LWSA S/A;2023-01-01;2023-12-31;Conselho de Administração;8.00;0.00;0.000000;0.00;0.00;0.00
02.351.877/0001-52;2025-12-31;14;154649;LWSA S/A;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;8.00;1.628000;1.95;0.00;1.75
02.351.877/0001-52;2025-12-31;14;154649;LWSA S/A;2022-01-01;2022-12-31;Conselho de Administração;8.00;3.58;1.000000;2.71;2.73;2.77
02.351.877/0001-52;2025-12-31;14;154649;LWSA S/A;2022-01-01;2022-12-31;Diretoria Estatutária;9.00;8.33;15.000000;1.94;1.75;1.95
02.351.877/0001-52;2025-12-31;14;154649;LWSA S/A;2024-01-01;2024-12-31;Diretoria Estatutária;7.75;7.75;0.000000;3.11;6.37;0.00
02.351.877/0001-52;2025-12-31;14;154649;LWSA S/A;2024-01-01;2024-12-31;Conselho de Administração;8.00;1.00;0.000000;2.58;0.00;4.31
02.351.877/0001-52;2025-12-31;14;154649;LWSA S/A;2025-01-01;2025-12-31;Conselho de Administração;8.00;1.00;0.000000;1.75;0.00;0.00
02.351.877/0001-52;2025-12-31;14;154649;LWSA S/A;2025-01-01;2025-12-31;Diretoria Estatutária;8.00;8.00;0.000000;3.47;0.00;0.00
02.365.069/0001-44;2025-12-31;5;152047;PADTEC HOLDING S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.365.069/0001-44;2025-12-31;5;152047;PADTEC HOLDING S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.42;1.00;1.000000;0.00;0.00;2.37
02.365.069/0001-44;2025-12-31;5;152047;PADTEC HOLDING S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.365.069/0001-44;2025-12-31;5;152047;PADTEC HOLDING S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;1.00;1.000000;3.08;0.00;2.51
02.387.241/0001-60;2025-12-31;7;154404;RUMO S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.387.241/0001-60;2025-12-31;7;154404;RUMO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;6.00;4.83;0.278000;0.01;0.01;0.01
02.387.241/0001-60;2025-12-31;7;154404;RUMO S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.33;0.00;0.000000;0.00;0.00;0.00
02.387.241/0001-60;2025-12-31;7;154404;RUMO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.040000;0.01;0.01;0.01
02.387.241/0001-60;2025-12-31;7;154404;RUMO S.A.;2024-01-01;2024-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.387.241/0001-60;2025-12-31;7;154404;RUMO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.17;4.17;0.080000;0.01;0.01;0.01
02.387.241/0001-60;2025-12-31;7;154404;RUMO S.A.;2025-01-01;2025-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
02.387.241/0001-60;2025-12-31;7;154404;RUMO S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;4.00;4.00;0.080000;0.01;0.01;0.01
02.421.421/0001-11;2025-12-31;5;154069;TIM S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2025-12-31;5;154069;TIM S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.40;6.40;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2025-12-31;5;154069;TIM S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2025-12-31;5;154069;TIM S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.50;7.50;0.000000;7.69;0.00;7.69
02.421.421/0001-11;2025-12-31;5;154069;TIM S.A.;2024-01-01;2024-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2025-12-31;5;154069;TIM S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;6.00;6.00;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2025-12-31;5;154069;TIM S.A.;2025-01-01;2025-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2025-12-31;5;154069;TIM S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;6.00;0.00;0.000000;0.00;0.00;0.00
02.762.121/0001-04;2025-12-31;9;154311;SANTOS BRASIL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;5.000000;3.08;2.48;3.78
02.762.121/0001-04;2025-12-31;9;154311;SANTOS BRASIL PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;5.000000;3.84;3.76;3.48
02.762.121/0001-04;2025-12-31;9;154311;SANTOS BRASIL PARTICIPACOES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;5.000000;3.90;3.76;3.71
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;4.00;0.430000;0.01;0.00;0.01
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.54;5.54;0.990000;0.01;0.01;0.01
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.34;3.09;0.080000;4.56;16.63;0.00
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.52;5.52;1.496000;4.00;0.00;0.00
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.67;5.00;0.440000;0.01;0.00;0.01
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;4.00;0.920000;0.01;0.00;0.01
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2025-01-01;2025-12-31;Conselho de Administração;6.50;5.00;0.440000;0.01;0.00;0.00
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;4.00;4.00;0.920000;0.01;0.00;0.00
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2025-01-01;2025-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
02.932.074/0001-91;2025-12-31;5;153955;HYPERA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;4.00;0.270000;29.01;0.00;29.05
02.932.074/0001-91;2025-12-31;5;153955;HYPERA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.17;4.17;0.140000;29.01;0.00;0.00
02.932.074/0001-91;2025-12-31;5;153955;HYPERA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;4.00;0.270000;38.04;0.00;0.00
02.932.074/0001-91;2025-12-31;5;153955;HYPERA S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;5.00;5.00;0.300000;38.11;0.00;0.00
03.220.438/0001-73;2025-12-31;15;154434;EQUATORIAL S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.50;0.00;0.000000;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;15;154434;EQUATORIAL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;9.67;1.00;3.180000;18.90;0.00;0.00
03.220.438/0001-73;2025-12-31;15;154434;EQUATORIAL S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.25;1.00;3.180000;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;15;154434;EQUATORIAL S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;9.75;1.00;3.180000;19.04;0.00;18.32
03.220.438/0001-73;2025-12-31;15;154434;EQUATORIAL S.A.;2025-01-01;2025-12-31;Conselho de Administração;8.00;1.00;3.180000;0.00;43.23;0.00
03.220.438/0001-73;2025-12-31;15;154434;EQUATORIAL S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;12.00;1.00;3.180000;18.39;0.00;0.00
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;2.00;0.094000;21.04;0.00;20.87
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;2.00;0.038000;21.41;0.00;21.41
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;1.00;0.008000;21.41;0.00;21.41
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2024-01-01;2024-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
