CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Quantidade_Acoes;Preco_Medio_Ponderado_Aquisicao;Preco_Medio_Ponderado_Mercado;Valor_Diferenca_Aquisicao_Mercado
01.083.200/0001-18;2025-12-31;9;154813;NEOENERGIA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;10.67;10.67;375117;15.34;15.34;0.00
01.083.200/0001-18;2025-12-31;9;154813;NEOENERGIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;10.42;10.42;0;0.00;0.00;0.00
01.083.200/0001-18;2025-12-31;9;154813;NEOENERGIA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;10.00;10.00;342962;15.34;20.98;-1934305.68
01.083.200/0001-18;2025-12-31;9;154813;NEOENERGIA S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;8.17;8.17;267608;15.34;20.22;-1305927.04
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;1.00;33497;30.61;15.34;511499.19
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;8.00;8.00;523124;26.20;14.99;5864220.04
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;3.00;0;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;0.00;0;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;8.00;220473;19.36;8.83;2321580.69
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2024-01-01;2024-12-31;Conselho de Administração;9.25;0.00;0;0.00;0.00;0.00
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;8.00;8.00;1133945;10.26;19.64;-10636404.10
01.838.723/0001-27;2025-12-31;11;153994;BRF S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;5.00;0;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;5.00;0;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.08;2.00;15120;15.94;15.50;6652.80
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;18742;22.55;19.25;61848.60
01.896.779/0001-38;2025-12-31;5;154333;CSU DIGITAL S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
01.957.772/0001-89;2025-12-31;1;149092;SUL 116 PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;3.00;0;0.00;0.00;0.00
01.957.772/0001-89;2025-12-31;1;149092;SUL 116 PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.00;3.00;0;0.00;0.00;0.00
01.957.772/0001-89;2025-12-31;1;149092;SUL 116 PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho de Administração;3.00;3.00;0;0.00;0.00;0.00
02.149.205/0001-69;2025-12-31;8;154772;PORTO SEGURO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;6.67;3.00;50087;20.97;0.00;1050324.39
02.149.205/0001-69;2025-12-31;8;154772;PORTO SEGURO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.92;2.00;72644;23.53;0.00;1709313.32
02.149.205/0001-69;2025-12-31;8;154772;PORTO SEGURO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;8.00;1.00;67676;27.81;0.00;1882069.56
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;86963;7.16;22.91;-1369667.25
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.92;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0;7.16;33.86;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.67;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;Conselho de Administração;3.00;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;Conselho Fiscal;4.00;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2025-12-31;6;154477;DEXXOS PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;0.00;0;7.16;26.07;0.00
02.258.422/0001-97;2025-12-31;2;153895;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;2025-01-01;2025-12-31;Conselho de Administração;3.00;3.00;0;0.00;0.00;0.00
02.258.422/0001-97;2025-12-31;2;153895;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;2025-01-01;2025-12-31;Diretoria Estatutária;2.00;2.00;0;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;1.00;0;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2022-01-01;2022-12-31;Conselho de Administração;4.00;0.00;0;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;1.00;0;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;1.00;0;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2025-01-01;2025-12-31;Conselho de Administração;4.00;0.00;0;0.00;0.00;0.00
02.291.077/0001-93;2025-12-31;4;152287;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2025-01-01;2025-12-31;Diretoria Estatutária;2.00;1.00;0;0.00;0.00;0.00
02.328.280/0001-97;2025-12-31;10;154809;ELEKTRO REDES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;1.00;18000;15.34;15.34;0.00
02.328.280/0001-97;2025-12-31;10;154809;ELEKTRO REDES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;1.00;18000;15.34;20.98;-101520.00
02.328.280/0001-97;2025-12-31;10;154809;ELEKTRO REDES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;1.00;0;0.00;0.00;0.00
02.351.877/0001-52;2025-12-31;14;154649;LWSA S/A;2022-01-01;2022-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
02.351.877/0001-52;2025-12-31;14;154649;LWSA S/A;2022-01-01;2022-12-31;Diretoria Estatutária;9.00;0.00;0;0.00;0.00;0.00
02.351.877/0001-52;2025-12-31;14;154649;LWSA S/A;2023-01-01;2023-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
02.351.877/0001-52;2025-12-31;14;154649;LWSA S/A;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;0.00;0;0.00;0.00;0.00
02.351.877/0001-52;2025-12-31;14;154649;LWSA S/A;2024-01-01;2024-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
02.351.877/0001-52;2025-12-31;14;154649;LWSA S/A;2024-01-01;2024-12-31;Diretoria Estatutária;7.75;0.00;0;0.00;0.00;0.00
02.365.069/0001-44;2025-12-31;5;152047;PADTEC HOLDING S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.42;1.00;764885;0.01;2.38;-1812777.45
02.365.069/0001-44;2025-12-31;5;152047;PADTEC HOLDING S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;1.00;254962;0.01;2.51;-637405.00
02.421.421/0001-11;2025-12-31;5;154069;TIM S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;0.00;0;0.00;0.00;0.00
02.421.421/0001-11;2025-12-31;5;154069;TIM S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.50;7.50;1756091;13.15;12.98;298535.47
02.421.421/0001-11;2025-12-31;5;154069;TIM S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;0.00;0;0.00;0.00;0.00
02.421.421/0001-11;2025-12-31;5;154069;TIM S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.40;6.40;1144706;13.20;14.52;-1511011.92
02.421.421/0001-11;2025-12-31;5;154069;TIM S.A.;2024-01-01;2024-12-31;Conselho de Administração;10.00;0.00;0;0.00;0.00;0.00
02.421.421/0001-11;2025-12-31;5;154069;TIM S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;6.00;6.00;1152212;12.95;17.13;-4816246.16
02.474.103/0001-19;2025-12-31;11;154296;ENGIE BRASIL ENERGIA S.A.;2024-01-01;2024-12-31;Conselho de Administração;18.00;0.00;0;0.00;0.00;0.00
02.474.103/0001-19;2025-12-31;11;154296;ENGIE BRASIL ENERGIA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;8.00;7.00;34620;50.63;40.67;344815.20
02.474.103/0001-19;2025-12-31;11;154296;ENGIE BRASIL ENERGIA S.A.;2023-01-01;2023-12-31;Conselho de Administração;18.00;0.00;0;0.00;0.00;0.00
02.474.103/0001-19;2025-12-31;11;154296;ENGIE BRASIL ENERGIA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;6.67;28841;39.50;38.29;34897.61
02.474.103/0001-19;2025-12-31;11;154296;ENGIE BRASIL ENERGIA S.A.;2022-01-01;2022-12-31;Conselho de Administração;18.00;0.00;0;0.00;0.00;0.00
02.474.103/0001-19;2025-12-31;11;154296;ENGIE BRASIL ENERGIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;8.00;7.00;37770;36.67;39.44;-104622.90
02.558.157/0001-62;2025-12-31;8;154800;TELEFÔNICA BRASIL S.A;2022-01-01;2022-12-31;Conselho de Administração;12.00;10.00;0;0.00;0.00;0.00
02.558.157/0001-62;2025-12-31;8;154800;TELEFÔNICA BRASIL S.A;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;56224;4.39;0.00;246823.36
02.558.157/0001-62;2025-12-31;8;154800;TELEFÔNICA BRASIL S.A;2023-01-01;2023-12-31;Conselho de Administração;12.00;10.00;0;0.00;0.00;0.00
02.558.157/0001-62;2025-12-31;8;154800;TELEFÔNICA BRASIL S.A;2023-01-01;2023-12-31;Diretoria Estatutária;4.67;4.67;49289;3.88;3.88;0.00
02.558.157/0001-62;2025-12-31;8;154800;TELEFÔNICA BRASIL S.A;2024-01-01;2024-12-31;Conselho de Administração;12.00;0.00;0;0.00;0.00;0.00
02.558.157/0001-62;2025-12-31;8;154800;TELEFÔNICA BRASIL S.A;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;227523;4.12;0.00;937394.76
02.762.121/0001-04;2025-12-31;9;154311;SANTOS BRASIL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;435691;6.28;6.68;-174276.40
02.762.121/0001-04;2025-12-31;9;154311;SANTOS BRASIL PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;643950;8.66;8.96;-193185.00
02.762.121/0001-04;2025-12-31;9;154311;SANTOS BRASIL PARTICIPACOES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;801363;11.56;11.56;0.00
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.34;3.09;0;0.00;0.00;0.00
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.52;5.52;83212;0.01;2.58;-213854.84
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;4.00;0;0.00;0.00;0.00
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
02.800.026/0001-40;2025-12-31;9;154253;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.54;5.54;0;0.00;0.00;0.00
02.846.056/0001-97;2025-12-31;14;154250;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.42;1.00;47131;0.00;13.95;-657477.45
02.846.056/0001-97;2025-12-31;14;154250;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2023-01-01;2023-12-31;Conselho de Administração;11.00;0.00;0;0.00;0.00;0.00
02.846.056/0001-97;2025-12-31;14;154250;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
02.846.056/0001-97;2025-12-31;14;154250;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2024-01-01;2024-12-31;Conselho de Administração;11.00;0.00;0;0.00;0.00;0.00
02.846.056/0001-97;2025-12-31;14;154250;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
02.846.056/0001-97;2025-12-31;14;154250;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;7.75;1.00;134424;0.00;12.48;-1677611.52
02.932.074/0001-91;2025-12-31;5;153955;HYPERA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.17;5.17;501343;27.97;40.51;-6286841.22
02.932.074/0001-91;2025-12-31;5;153955;HYPERA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;323375;29.17;39.32;-3282256.25
02.932.074/0001-91;2025-12-31;5;153955;HYPERA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;403216;27.96;31.06;-1249969.60
03.220.438/0001-73;2025-12-31;15;154434;EQUATORIAL S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.50;0.00;0;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;15;154434;EQUATORIAL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;9.67;2.00;201671;32.16;32.16;0.00
03.220.438/0001-73;2025-12-31;15;154434;EQUATORIAL S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.17;0.00;0;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;15;154434;EQUATORIAL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.58;0.00;0;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;15;154434;EQUATORIAL S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.25;0.00;0;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;15;154434;EQUATORIAL S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;9.75;2.00;172295;31.12;29.42;292901.50
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;115869;0.00;25.65;-2972039.85
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;4.00;163480;0.00;18.02;-2945909.60
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;4.00;218070;0.00;19.95;-4350496.50
03.342.704/0001-30;2025-12-31;8;154426;PETRORECÔNCAVO S.A.;2024-01-01;2024-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
03.467.321/0001-99;2025-12-31;7;154629;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2022-01-01;2022-12-31;Conselho de Administração;4.33;0.00;0;0.00;0.00;0.00
03.467.321/0001-99;2025-12-31;7;154629;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2022-01-01;2022-12-31;Conselho Fiscal;6.00;0.00;0;0.00;0.00;0.00
03.467.321/0001-99;2025-12-31;7;154629;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;6.63;31317;0.00;43.96;-1376695.32
03.467.321/0001-99;2025-12-31;7;154629;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2023-01-01;2023-12-31;Conselho Fiscal;6.00;0.00;0;0.00;0.00;0.00
03.467.321/0001-99;2025-12-31;7;154629;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2023-01-01;2023-12-31;Diretoria Estatutária;7.00;0.00;0;0.00;0.00;0.00
03.467.321/0001-99;2025-12-31;7;154629;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2023-01-01;2023-12-31;Conselho de Administração;4.00;0.00;0;0.00;0.00;0.00
03.467.321/0001-99;2025-12-31;7;154629;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2024-01-01;2024-12-31;Conselho Fiscal;6.00;0.00;0;0.00;0.00;0.00
03.467.321/0001-99;2025-12-31;7;154629;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2024-01-01;2024-12-31;Conselho de Administração;4.00;0.00;0;0.00;0.00;0.00
03.467.321/0001-99;2025-12-31;7;154629;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2024-01-01;2024-12-31;Diretoria Estatutária;7.00;7.00;0;0.00;0.00;0.00
03.802.115/0001-98;2025-12-31;2;149302;CLEAR SALE S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.92;6.92;0;0.00;0.00;0.00
03.802.115/0001-98;2025-12-31;2;149302;CLEAR SALE S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.92;4.92;54880;6.60;6.60;0.00
03.802.115/0001-98;2025-12-31;2;149302;CLEAR SALE S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;7.00;59640;5.66;5.66;0.00
03.802.115/0001-98;2025-12-31;2;149302;CLEAR SALE S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.33;4.33;59640;5.66;5.66;0.00
03.853.896/0001-40;2025-12-31;8;154450;MARFRIG GLOBAL FOODS S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2025-12-31;8;154450;MARFRIG GLOBAL FOODS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;292270;0.00;15.83;-4626634.10
03.853.896/0001-40;2025-12-31;8;154450;MARFRIG GLOBAL FOODS S.A.;2022-01-01;2022-12-31;Conselho Fiscal;6.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2025-12-31;8;154450;MARFRIG GLOBAL FOODS S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2025-12-31;8;154450;MARFRIG GLOBAL FOODS S.A.;2023-01-01;2023-12-31;Conselho Fiscal;6.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2025-12-31;8;154450;MARFRIG GLOBAL FOODS S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2025-12-31;8;154450;MARFRIG GLOBAL FOODS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;4.00;723886;0.00;12.11;-8766259.46
04.069.709/0001-02;2025-12-31;3;150951;BIONEXO S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
04.069.709/0001-02;2025-12-31;3;150951;BIONEXO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;0;0.00;0.00;0.00
04.069.709/0001-02;2025-12-31;3;150951;BIONEXO S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.91;0.00;0;0.00;0.00;0.00
04.069.709/0001-02;2025-12-31;3;150951;BIONEXO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;2864769;4.88;0.00;13980072.72
04.069.709/0001-02;2025-12-31;3;150951;BIONEXO S.A.;2024-01-01;2024-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
